driverId,driver,mu,sigma,ordinal,last_year,last_round,last_constructor,n_races,n_qualis
830,Max Verstappen,317.313,4.268,304.508,2024,24,9,190,209
844,Charles Leclerc,291.729,4.511,278.195,2024,24,6,137,149
846,Lando Norris,286.101,4.58,272.361,2024,24,1,122,128
857,Oscar Piastri,285.654,6.507,266.133,2024,24,1,44,46
847,George Russell,282.622,4.798,268.229,2024,24,131,117,128
832,Carlos Sainz,278.066,4.277,265.236,2024,24,6,184,207
1,Lewis Hamilton,269.37,4.174,256.849,2024,24,131,218,227
815,Sergio Pérez,253.052,4.177,240.521,2024,24,9,212,226
4,Fernando Alonso,251.789,4.582,238.042,2024,24,117,151,186
852,Yuki Tsunoda,236.687,5.115,221.343,2024,24,215,79,90
842,Pierre Gasly,233.613,4.487,220.153,2024,24,214,138,153
807,Nico Hülkenberg,229.92,4.754,215.659,2024,24,210,150,172
848,Alexander Albon,228.588,4.819,214.131,2024,24,3,96,104
840,Lance Stroll,225.152,4.391,211.978,2024,24,117,152,168
839,Esteban Ocon,224.217,4.367,211.117,2024,23,214,141,155
817,Daniel Ricciardo,220.771,4.62,206.91,2024,18,215,181,206
822,Valtteri Bottas,217.828,4.329,204.84,2024,24,15,209,228
825,Kevin Magnussen,213.495,4.319,200.537,2024,24,210,163,185
855,Guanyu Zhou,209.348,5.527,192.766,2024,24,15,61,68
3,Nico Rosberg,198.245,6.444,178.914,2016,21,131,56,59
20,Sebastian Vettel,196.792,4.523,183.222,2022,22,117,166,179
858,Logan Sargeant,187.957,7.138,166.543,2024,15,3,32,36
854,Mick Schumacher,174.392,6.426,155.112,2022,22,210,41,43
841,Antonio Giovinazzi,164.995,5.589,148.228,2021,22,51,60,61
8,Kimi Räikkönen,158.686,4.571,144.973,2021,22,51,144,158
849,Nicholas Latifi,158.112,5.849,140.565,2022,22,3,57,61
826,Daniil Kvyat,155.44,5.329,139.452,2020,17,213,95,112
154,Romain Grosjean,133.541,4.865,118.945,2020,15,210,112,136
859,Liam Lawson,117.853,8.442,92.527,2024,24,215,10,11
13,Felipe Massa,114.698,5.494,98.217,2017,20,3,71,78
856,Nyck de Vries,101.367,8.328,76.383,2023,10,213,11,11
861,Franco Colapinto,95.594,8.302,70.687,2024,24,3,8,9
838,Stoffel Vandoorne,95.164,6.129,76.777,2018,21,1,37,42
843,Brendon Hartley,94.449,6.887,73.789,2018,21,5,19,25
828,Marcus Ericsson,91.997,5.318,76.043,2018,21,15,83,96
835,Jolyon Palmer,83.785,6.463,64.395,2017,16,4,30,35
18,Jenson Button,83.757,6.002,65.75,2017,6,1,48,58
845,Sergey Sirotkin,82.592,6.775,62.268,2018,21,3,19,21
853,Nikita Mazepin,79.561,7.732,56.365,2021,22,210,19,22
9,Robert Kubica,78.216,7.731,55.022,2021,14,51,21,23
821,Esteban Gutiérrez,71.436,6.704,51.323,2016,21,210,32,40
836,Pascal Wehrlein,66.417,6.446,47.08,2017,20,15,37,39
831,Felipe Nasr,55.438,6.383,36.288,2016,21,15,34,40
860,Oliver Bearman,53.64,8.468,28.235,2024,21,210,3,3
813,Pastor Maldonado,51.238,6.774,30.918,2015,19,208,28,38
818,Jean-Éric Vergne,46.454,7.313,24.514,2014,19,5,14,19
851,Jack Aitken,33.231,8.323,8.262,2020,16,3,1,1
850,Pietro Fittipaldi,32.553,8.3,7.655,2020,17,210,2,2
862,Jack Doohan,29.918,8.33,4.926,2024,24,214,1,1
837,Rio Haryanto,26.145,7.7,3.046,2016,12,209,11,12
834,Alexander Rossi,26.125,8.676,0.098,2015,18,209,5,5
814,Paul di Resta,25.851,8.253,1.092,2017,11,3,0,1
16,Adrian Sutil,23.651,7.362,1.566,2014,19,15,15,19
827,André Lotterer,23.527,8.301,-1.374,2014,12,207,0,1
829,Will Stevens,20.038,8.508,-5.485,2015,19,209,16,18
833,Roberto Merhi,18.263,8.219,-6.394,2015,19,209,12,13
824,Jules Bianchi,15.185,7.594,-7.597,2014,15,206,13,15
155,Kamui Kobayashi,9.892,7.707,-13.23,2014,19,207,10,16
820,Max Chilton,4.109,7.621,-18.753,2014,16,206,15,16
