year,round,driverId,driver,mu,sigma,event
2014,1,1,Lewis Hamilton,28.033926621967446,8.33124218474055,quali
2014,1,817,Daniel Ricciardo,27.882574273479275,8.328620110906972,quali
2014,1,3,Nico Rosberg,27.723654307566694,8.325872930945676,quali
2014,1,825,Kevin Magnussen,27.556370132921874,8.322988197497425,quali
2014,1,4,Fernando Alonso,27.379792393019006,8.319951519177712,quali
2014,1,818,Jean-Éric Vergne,27.1928277272395,8.316746136146094,quali
2014,1,807,Nico Hülkenberg,26.994177769848772,8.313352374090375,quali
2014,1,826,Daniil Kvyat,26.782284481965334,8.309746932734534,quali
2014,1,13,Felipe Massa,26.555255959233076,8.305901945585665,quali
2014,1,822,Valtteri Bottas,26.31076370398295,8.3017837180043,quali
2014,1,18,Jenson Button,26.045897094128648,8.297351004518276,quali
2014,1,8,Kimi Räikkönen,25.75695170156032,8.292552612958133,quali
2014,1,20,Sebastian Vettel,25.43911176973516,8.287324004358425,quali
2014,1,16,Adrian Sutil,25.085956289929424,8.28158236325649,quali
2014,1,155,Kamui Kobayashi,24.922164093786993,8.319155922594572,quali
2014,1,815,Sergio Pérez,24.808649832420866,8.317383541527214,quali
2014,1,820,Max Chilton,24.676216527493715,8.31537274463192,quali
2014,1,824,Jules Bianchi,24.517296561581134,8.313055703715245,quali
2014,1,821,Esteban Gutiérrez,24.31864660419041,8.310339599271924,quali
2014,1,828,Marcus Ericsson,24.053779994336107,8.307119362553209,quali
2014,1,154,Romain Grosjean,23.656480079554655,8.303495103463707,quali
2014,1,813,Pastor Maldonado,22.861880249991753,8.303495103463707,quali
2014,1,3,Nico Rosberg,31.208542784398244,8.32057799059105,race
2014,1,825,Kevin Magnussen,30.780521083894257,8.311672973819547,race
2014,1,18,Jenson Button,29.00398834566133,8.280451691161774,race
2014,1,4,Fernando Alonso,30.02788677862758,8.29537281383358,race
2014,1,822,Valtteri Bottas,28.663385329173707,8.27088137008142,race
2014,1,807,Nico Hülkenberg,28.977457212419505,8.27376405664027,race
2014,1,8,Kimi Räikkönen,27.414082524513613,8.24617898098939,race
2014,1,818,Jean-Éric Vergne,28.345497683032697,8.258485726847999,race
2014,1,826,Daniil Kvyat,27.476949350110427,8.241671235191495,race
2014,1,815,Sergio Pérez,25.13196796275838,8.240815823010237,race
2014,1,16,Adrian Sutil,25.005804486652316,8.259835660969273,race
2014,1,821,Esteban Gutiérrez,24.07622089168348,8.285015888135778,race
2014,1,820,Max Chilton,24.192825077833366,8.285436676309464,race
2014,1,824,Jules Bianchi,23.737230478437827,8.278138758230405,race
2014,1,13,Felipe Massa,25.20637746446002,8.263752411977682,race
