constructorId,constructor,year,n_entries,n_mech_dnfs,empirical_dnf_rate,dnf_rate_mean,reliability_mean,reliability_sigma,last_round
3,Williams,2014,38,1,0.02631578947368421,0.06,0.94,0.0333,19
10,Force India,2014,38,1,0.02631578947368421,0.06,0.94,0.0333,19
1,McLaren,2014,38,2,0.05263157894736842,0.08,0.92,0.038,19
6,Ferrari,2014,38,2,0.05263157894736842,0.08,0.92,0.038,19
206,Marussia,2014,31,3,0.0967741935483871,0.1163,0.8837,0.0483,16
131,Mercedes,2014,38,4,0.10526315789473684,0.12,0.88,0.0455,19
9,Red Bull,2014,38,5,0.13157894736842105,0.14,0.86,0.0486,19
15,Sauber,2014,38,7,0.18421052631578946,0.18,0.82,0.0538,19
207,Caterham,2014,34,8,0.23529411764705882,0.2174,0.7826,0.0602,19
5,Toro Rosso,2014,38,9,0.23684210526315788,0.22,0.78,0.058,19
208,Lotus F1,2014,38,9,0.23684210526315788,0.22,0.78,0.058,19
3,Williams,2015,38,2,0.05263157894736842,0.08,0.92,0.038,19
15,Sauber,2015,38,2,0.05263157894736842,0.08,0.92,0.038,19
131,Mercedes,2015,38,2,0.05263157894736842,0.08,0.92,0.038,19
209,Manor Marussia,2015,36,2,0.05555555555555555,0.0833,0.9167,0.0395,19
6,Ferrari,2015,38,4,0.10526315789473684,0.12,0.88,0.0455,19
9,Red Bull,2015,38,4,0.10526315789473684,0.12,0.88,0.0455,19
10,Force India,2015,38,4,0.10526315789473684,0.12,0.88,0.0455,19
208,Lotus F1,2015,38,6,0.15789473684210525,0.16,0.84,0.0513,19
1,McLaren,2015,38,8,0.21052631578947367,0.2,0.8,0.056,19
5,Toro Rosso,2015,38,9,0.23684210526315788,0.22,0.78,0.058,19
9,Red Bull,2016,42,1,0.023809523809523808,0.0556,0.9444,0.0309,21
131,Mercedes,2016,42,1,0.023809523809523808,0.0556,0.9444,0.0309,21
10,Force India,2016,42,3,0.07142857142857142,0.0926,0.9074,0.0391,21
209,Manor Marussia,2016,42,3,0.07142857142857142,0.0926,0.9074,0.0391,21
3,Williams,2016,42,4,0.09523809523809523,0.1111,0.8889,0.0424,21
6,Ferrari,2016,42,4,0.09523809523809523,0.1111,0.8889,0.0424,21
