year,round,constructorId,constructor,n_entries_season,n_mech_season,reliability_mean,reliability_sigma
2014,1,1,McLaren,2,0,0.8571428571428572,0.09035079029052512
2014,1,3,Williams,2,0,0.8571428571428572,0.09035079029052512
2014,1,5,Toro Rosso,2,0,0.8571428571428572,0.09035079029052512
2014,1,6,Ferrari,2,0,0.8571428571428572,0.09035079029052512
2014,1,9,Red Bull,2,1,0.7857142857142857,0.10594569267279517
2014,1,10,Force India,2,0,0.8571428571428572,0.09035079029052512
2014,1,15,Sauber,2,0,0.8571428571428572,0.09035079029052512
2014,1,131,Mercedes,2,1,0.7857142857142857,0.10594569267279517
2014,1,206,Marussia,2,0,0.8571428571428572,0.09035079029052512
2014,1,207,Caterham,2,1,0.7857142857142857,0.10594569267279517
2014,1,208,Lotus F1,2,2,0.7142857142857143,0.11664236870396086
2014,2,1,McLaren,4,0,0.875,0.08021111848996848
2014,2,3,Williams,4,0,0.875,0.08021111848996848
2014,2,5,Toro Rosso,4,1,0.8125,0.09466465580576273
2014,2,6,Ferrari,4,0,0.875,0.08021111848996848
2014,2,9,Red Bull,4,2,0.75,0.10502100630210073
2014,2,10,Force India,4,0,0.875,0.08021111848996848
2014,2,15,Sauber,4,2,0.75,0.10502100630210073
2014,2,131,Mercedes,4,1,0.8125,0.09466465580576273
2014,2,206,Marussia,4,1,0.8125,0.09466465580576273
2014,2,207,Caterham,4,1,0.8125,0.09466465580576273
2014,2,208,Lotus F1,4,3,0.6875,0.11241827096632835
2014,3,1,McLaren,6,2,0.7777777777777778,0.09537723058655023
2014,3,3,Williams,6,0,0.8888888888888888,0.07209840939145001
2014,3,5,Toro Rosso,6,1,0.8333333333333334,0.08549819600709618
2014,3,6,Ferrari,6,0,0.8888888888888888,0.07209840939145001
2014,3,9,Red Bull,6,2,0.7777777777777778,0.09537723058655023
2014,3,10,Force India,6,0,0.8888888888888888,0.07209840939145001
2014,3,15,Sauber,6,2,0.7777777777777778,0.09537723058655023
2014,3,131,Mercedes,6,1,0.8333333333333334,0.08549819600709618
2014,3,206,Marussia,6,1,0.8333333333333334,0.08549819600709618
2014,3,207,Caterham,6,1,0.8333333333333334,0.08549819600709618
2014,3,208,Lotus F1,6,3,0.7222222222222222,0.10275604322108525
2014,4,1,McLaren,8,2,0.8,0.08728715609439697
2014,4,3,Williams,8,0,0.9,0.06546536707079771
2014,4,5,Toro Rosso,8,1,0.85,0.07791937224739796
2014,4,6,Ferrari,8,0,0.9,0.06546536707079771
2014,4,9,Red Bull,8,2,0.8,0.08728715609439697
2014,4,10,Force India,8,0,0.9,0.06546536707079771
2014,4,15,Sauber,8,3,0.75,0.0944911182523068
2014,4,131,Mercedes,8,1,0.85,0.07791937224739796
2014,4,206,Marussia,8,1,0.85,0.07791937224739796
2014,4,207,Caterham,8,1,0.85,0.07791937224739796
2014,4,208,Lotus F1,8,4,0.7,0.1
2014,5,1,McLaren,10,2,0.8181818181818181,0.08042288517539843
2014,5,3,Williams,10,0,0.9090909090909091,0.059943679399617006
2014,5,5,Toro Rosso,10,2,0.8181818181818181,0.08042288517539843
2014,5,6,Ferrari,10,0,0.9090909090909091,0.059943679399617006
2014,5,9,Red Bull,10,2,0.8181818181818181,0.08042288517539843
2014,5,10,Force India,10,0,0.9090909090909091,0.059943679399617006
2014,5,15,Sauber,10,3,0.7727272727272727,0.08738217774479899
2014,5,131,Mercedes,10,1,0.8636363636363636,0.07155678652265483
2014,5,206,Marussia,10,1,0.8636363636363636,0.07155678652265483
2014,5,207,Caterham,10,2,0.8181818181818181,0.08042288517539843
2014,5,208,Lotus F1,10,4,0.7272727272727273,0.0928643488100453
2014,6,1,McLaren,12,2,0.8333333333333334,0.07453559924999299
2014,6,3,Williams,12,1,0.875,0.06614378277661477
2014,6,5,Toro Rosso,12,4,0.75,0.08660254037844387
