year,constructorId,d1_dnf_rate,d2_dnf_rate,d1_starts,d2_starts,era,within_team_gap
1961,66,0.625,0.375,8.0,8.0,pre-1980,0.25
1962,26,0.4444444444444444,1.0,9.0,9.0,pre-1980,0.5555555555555556
1963,54,0.8888888888888888,0.875,9.0,8.0,pre-1980,0.01388888888888884
1963,92,1.0,1.0,7.0,7.0,pre-1980,0.0
1964,94,0.7142857142857143,0.2857142857142857,7.0,7.0,pre-1980,0.4285714285714286
1965,11,0.5,0.6666666666666666,8.0,6.0,pre-1980,0.16666666666666663
1966,191,0.42857142857142855,0.3333333333333333,7.0,9.0,pre-1980,0.09523809523809523
1969,6,0.8333333333333334,0.4,6.0,5.0,pre-1980,0.43333333333333335
1970,82,0.3076923076923077,0.5384615384615384,13.0,13.0,pre-1980,0.23076923076923073
1971,82,0.4,0.2857142857142857,10.0,7.0,pre-1980,0.11428571428571432
1973,6,0.2222222222222222,0.3,9.0,10.0,pre-1980,0.07777777777777778
1974,6,0.6,0.2,15.0,15.0,pre-1980,0.39999999999999997
1975,6,0.07142857142857142,0.42857142857142855,14.0,14.0,pre-1980,0.3571428571428571
1975,34,0.14285714285714285,0.6428571428571429,14.0,14.0,pre-1980,0.5
1975,202,0.8333333333333334,0.5714285714285714,12.0,14.0,pre-1980,0.261904761904762
1976,1,0.25,0.375,16.0,16.0,pre-1980,0.125
1977,32,0.5882352941176471,0.5882352941176471,17.0,17.0,pre-1980,0.0
1978,6,0.25,0.375,16.0,16.0,pre-1980,0.125
1978,21,0.5,0.5714285714285714,14.0,14.0,pre-1980,0.0714285714285714
1978,25,0.375,0.5,16.0,16.0,pre-1980,0.125
1979,1,0.7333333333333333,0.3333333333333333,15.0,15.0,pre-1980,0.39999999999999997
1979,3,0.4666666666666667,0.3333333333333333,15.0,15.0,pre-1980,0.13333333333333336
1979,4,0.6666666666666666,0.8,15.0,15.0,pre-1980,0.13333333333333341
1979,6,0.26666666666666666,0.13333333333333333,15.0,15.0,pre-1980,0.13333333333333333
1979,21,0.6,0.4,15.0,15.0,pre-1980,0.19999999999999996
1979,58,0.5333333333333333,0.5333333333333333,15.0,15.0,pre-1980,0.0
1979,59,0.875,0.8571428571428571,8.0,7.0,pre-1980,0.017857142857142905
1979,204,0.7692307692307693,0.8461538461538461,13.0,13.0,pre-1980,0.07692307692307687
1980,4,0.35714285714285715,0.8461538461538461,14.0,13.0,1980–1999,0.489010989010989
1980,6,0.5,0.35714285714285715,14.0,14.0,1980–1999,0.14285714285714285
1980,27,0.35714285714285715,0.42857142857142855,14.0,14.0,1980–1999,0.0714285714285714
1980,56,0.5,0.5714285714285714,14.0,14.0,1980–1999,0.0714285714285714
1981,1,0.6666666666666666,0.3333333333333333,15.0,15.0,1980–1999,0.3333333333333333
1981,3,0.26666666666666666,0.2,15.0,15.0,1980–1999,0.06666666666666665
1981,4,0.6,0.5333333333333333,15.0,15.0,1980–1999,0.06666666666666665
1981,6,0.4666666666666667,0.6,15.0,15.0,1980–1999,0.1333333333333333
1981,32,0.6666666666666666,0.3333333333333333,15.0,15.0,1980–1999,0.3333333333333333
1981,34,0.3333333333333333,0.6666666666666666,15.0,15.0,1980–1999,0.3333333333333333
1981,37,1.0,0.7333333333333333,5.0,15.0,1980–1999,0.2666666666666667
1981,51,0.5333333333333333,0.5333333333333333,15.0,15.0,1980–1999,0.0
1981,53,1.0,0.9166666666666666,12.0,12.0,1980–1999,0.08333333333333337
1981,55,0.2857142857142857,0.625,7.0,8.0,1980–1999,0.3392857142857143
1981,56,0.7857142857142857,0.8571428571428571,14.0,14.0,1980–1999,0.0714285714285714
1982,1,0.5,0.3333333333333333,14.0,15.0,1980–1999,0.16666666666666669
1982,4,0.625,0.6875,16.0,16.0,1980–1999,0.0625
1982,27,0.6666666666666666,0.7333333333333333,15.0,15.0,1980–1999,0.06666666666666665
1982,34,0.6666666666666666,0.7333333333333333,15.0,15.0,1980–1999,0.06666666666666665
1982,45,0.8125,1.0,16.0,8.0,1980–1999,0.1875
1982,51,0.75,0.5625,16.0,16.0,1980–1999,0.1875
1982,53,0.8571428571428571,1.0,14.0,14.0,1980–1999,0.1428571428571429
1982,54,0.75,0.6875,16.0,16.0,1980–1999,0.0625
1983,1,0.7333333333333333,0.4666666666666667,15.0,15.0,1980–1999,0.2666666666666666
1983,4,0.2,0.5333333333333333,15.0,15.0,1980–1999,0.3333333333333333
1983,6,0.26666666666666666,0.4,15.0,15.0,1980–1999,0.13333333333333336
1983,25,0.5333333333333333,0.5333333333333333,15.0,15.0,1980–1999,0.0
1983,27,0.6,0.6,15.0,15.0,1980–1999,0.0
1983,32,0.5333333333333333,0.8666666666666667,15.0,15.0,1980–1999,0.33333333333333337
1983,34,0.7333333333333333,0.3333333333333333,15.0,15.0,1980–1999,0.39999999999999997
