year,constructorId,races,poles,pole_rate,rank_prev,points_prev,name
2000,1,17,2,0.11764705882352941,2.0,124.0,McLaren
2000,3,17,0,0.0,5.0,35.0,Williams
2000,6,17,2,0.11764705882352941,1.0,128.0,Ferrari
2000,15,17,0,0.0,8.0,5.0,Sauber
2000,16,17,0,0.0,11.0,0.0,BAR
2000,17,17,0,0.0,3.0,61.0,Jordan
2000,18,17,0,0.0,10.0,1.0,Minardi
2000,19,17,0,0.0,,,Jaguar
2000,20,17,0,0.0,7.0,9.0,Prost
2000,21,17,0,0.0,9.0,1.0,Arrows
2000,22,17,0,0.0,6.0,16.0,Benetton
2001,1,17,0,0.0,2.0,162.0,McLaren
2001,3,17,0,0.0,3.0,36.0,Williams
2001,6,17,1,0.058823529411764705,1.0,170.0,Ferrari
2001,15,17,0,0.0,8.0,6.0,Sauber
2001,16,17,0,0.0,5.0,20.0,BAR
2001,17,17,0,0.0,6.0,17.0,Jordan
2001,18,17,0,0.0,10.0,0.0,Minardi
2001,19,17,0,0.0,9.0,4.0,Jaguar
2001,20,17,0,0.0,11.0,0.0,Prost
2001,21,17,0,0.0,7.0,7.0,Arrows
2001,22,17,0,0.0,4.0,20.0,Benetton
2002,1,17,0,0.0,2.0,102.0,McLaren
2002,3,17,0,0.0,3.0,80.0,Williams
2002,4,17,0,0.0,,,Renault
2002,6,17,2,0.11764705882352941,1.0,179.0,Ferrari
2002,7,17,0,0.0,,,Toyota
2002,15,17,0,0.0,4.0,21.0,Sauber
2002,16,17,0,0.0,6.0,17.0,BAR
2002,17,17,0,0.0,5.0,19.0,Jordan
2002,18,17,0,0.0,11.0,0.0,Minardi
2002,19,17,0,0.0,8.0,9.0,Jaguar
2002,21,12,0,0.0,10.0,1.0,Arrows
2003,1,16,2,0.125,3.0,65.0,McLaren
2003,3,16,4,0.25,2.0,92.0,Williams
2003,4,16,2,0.125,4.0,23.0,Renault
2003,6,16,8,0.5,1.0,221.0,Ferrari
2003,7,16,0,0.0,10.0,2.0,Toyota
2003,15,16,0,0.0,5.0,11.0,Sauber
2003,16,16,0,0.0,8.0,7.0,BAR
2003,17,16,0,0.0,6.0,9.0,Jordan
2003,18,16,0,0.0,9.0,2.0,Minardi
2003,19,16,0,0.0,7.0,8.0,Jaguar
2004,1,18,1,0.05555555555555555,3.0,142.0,McLaren
2004,3,18,1,0.05555555555555555,2.0,144.0,Williams
2004,4,18,3,0.16666666666666666,4.0,88.0,Renault
2004,6,18,12,0.6666666666666666,1.0,158.0,Ferrari
2004,7,18,0,0.0,8.0,16.0,Toyota
2004,15,18,0,0.0,6.0,19.0,Sauber
2004,16,18,1,0.05555555555555555,5.0,26.0,BAR
2004,17,18,0,0.0,9.0,13.0,Jordan
2004,18,18,0,0.0,10.0,0.0,Minardi
2004,19,18,0,0.0,7.0,18.0,Jaguar
2005,1,19,7,0.3684210526315789,5.0,69.0,McLaren
2005,3,19,1,0.05263157894736842,4.0,88.0,Williams
2005,4,19,7,0.3684210526315789,3.0,105.0,Renault
2005,6,19,1,0.05263157894736842,1.0,262.0,Ferrari
2005,7,19,2,0.10526315789473684,8.0,9.0,Toyota
2005,9,19,0,0.0,,,Red Bull
2005,15,19,0,0.0,6.0,34.0,Sauber
2005,16,17,1,0.058823529411764705,2.0,119.0,BAR
2005,17,19,0,0.0,9.0,5.0,Jordan
2005,18,19,0,0.0,10.0,1.0,Minardi
2006,1,18,3,0.16666666666666666,2.0,182.0,McLaren
2006,2,18,0,0.0,,,BMW Sauber
2006,3,18,0,0.0,5.0,66.0,Williams
2006,4,18,7,0.3888888888888889,1.0,191.0,Renault
2006,5,18,0,0.0,,,Toro Rosso
2006,6,18,7,0.3888888888888889,3.0,100.0,Ferrari
2006,7,18,0,0.0,4.0,88.0,Toyota
2006,8,18,0,0.0,,,Super Aguri
2006,9,18,0,0.0,7.0,34.0,Red Bull
2006,11,18,1,0.05555555555555555,,,Honda
2006,13,14,0,0.0,,,MF1
2006,14,4,0,0.0,,,Spyker MF1
2007,1,17,8,0.47058823529411764,3.0,110.0,McLaren
2007,2,17,0,0.0,5.0,36.0,BMW Sauber
2007,3,17,0,0.0,8.0,11.0,Williams
2007,4,17,0,0.0,1.0,206.0,Renault
2007,5,17,0,0.0,9.0,1.0,Toro Rosso
2007,6,17,9,0.5294117647058824,2.0,201.0,Ferrari
2007,7,17,0,0.0,6.0,35.0,Toyota
2007,8,17,0,0.0,11.0,0.0,Super Aguri
2007,9,17,0,0.0,7.0,16.0,Red Bull
2007,11,17,0,0.0,4.0,86.0,Honda
